score;completeness;rescuebot_action;rescuebot_location;charlie_action;charlie_location;name;competency_rescue_severelyInjured;competency_rescue_mildlyInjured;competency_arrival;willingness_search;willingness_response;willingness_rescue;world_nr;tick_nr
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8323
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8324
27;0.75;MoveSouthWest;(15, 16);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8325
27;0.75;MoveSouthWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8326
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8327
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8328
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8329
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8330
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8331
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8332
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8333
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8334
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8335
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8336
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8337
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8338
27;0.75;MoveWest;(14, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8339
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8340
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8341
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8342
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8343
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8344
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8345
27;0.75;MoveWest;(13, 17);;(3, 5);Charlie;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8346
